strategy,k,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,elapsed_time
mean,53,66,17,17,3,0.4842514113566746,0.561063
mean,53,66,9,17,15,0.3773571860686198,0.519179
mean,53,81,9,17,3,0.47444912787018056,0.670876
mean,228,81,1,9,14,0.3773571860686198,0.552141
median,273,81,17,9,14,0.3773571860686198,0.667049
mean,273,81,9,17,17,0.3773571860686198,0.6598
mean,273,66,1,9,17,0.3773571860686198,0.462497
mean,53,66,17,9,15,0.3773571860686198,0.54447
mean,53,66,1,17,3,0.3773571860686198,0.504804
mean,228,6,17,9,17,0.3773571860686198,0.116748
mean,53,81,1,17,3,0.3773571860686198,0.603585
median,53,66,1,9,14,0.3773571860686198,0.447302
mean,53,81,9,17,3,0.47444912787018056,0.665101
mean,53,61,17,9,15,0.3773571860686198,0.457685
mean,228,6,17,17,3,0.47113908400458104,0.115268
mean,78,61,4,17,5,0.39298600169743547,0.483458
mean,53,66,9,17,15,0.3773571860686198,0.484111
median,53,81,17,17,14,0.3773571860686198,0.596923
mean,53,66,17,17,3,0.4842514113566746,0.573285
most_frequent,78,61,9,17,5,0.39298600169743547,0.548608
most_frequent,273,66,17,17,3,0.4261825828940167,0.715864
mean,53,66,9,17,3,0.4842514113566746,0.562199
mean,53,66,9,17,3,0.4842514113566746,0.558524
mean,53,66,17,17,3,0.4842514113566746,0.578755
mean,53,66,9,17,3,0.4842514113566746,0.579864
mean,53,66,9,17,3,0.4842514113566746,0.553288
mean,53,66,9,17,3,0.4842514113566746,0.531955
mean,53,66,9,17,3,0.4842514113566746,0.54881
mean,53,61,4,17,5,0.4133820307891168,0.46137
mean,53,66,17,17,3,0.4842514113566746,0.572161
mean,53,66,9,17,5,0.4133820307891168,0.513728
most_frequent,78,66,9,17,5,0.39298600169743547,0.596461
mean,53,66,9,17,3,0.4842514113566746,0.562601
mean,53,66,9,17,3,0.4842514113566746,0.548428
mean,53,66,9,17,3,0.4842514113566746,0.541469
most_frequent,78,61,4,17,3,0.4202566569680908,0.543583
mean,53,66,9,17,3,0.4842514113566746,0.56292
most_frequent,53,81,17,17,3,0.47444912787018056,0.713953
mean,53,66,17,17,3,0.4842514113566746,0.585727
mean,273,66,17,17,3,0.4261825828940167,0.705459
mean,53,66,17,17,3,0.4842514113566746,0.554011
mean,53,66,9,17,3,0.4842514113566746,0.570833
mean,273,61,4,17,3,0.4261825828940167,0.568193
mean,273,66,17,17,3,0.4261825828940167,0.662067
mean,53,81,17,17,3,0.47444912787018056,0.680017
mean,53,66,17,17,3,0.4842514113566746,0.576043
mean,53,66,4,17,5,0.4133820307891168,0.510419
mean,53,66,17,17,3,0.4842514113566746,0.559404
mean,53,81,17,17,3,0.47444912787018056,0.7167
mean,53,66,9,17,3,0.4842514113566746,0.563157
mean,53,81,17,17,5,0.4133820307891168,0.661237
most_frequent,78,81,4,17,5,0.39298600169743547,0.666237
most_frequent,78,61,9,17,5,0.39298600169743547,0.561468
