strategy,k,kernel,c,degree,f1,elapsed_time
median,233,linear,14,8,0.5767760640071853,0.086226
mean,233,rbf,15,7,0.45522486177456933,0.085857
mean,118,sigmoid,14,5,0.5739302935701828,0.06846
mean,58,rbf,1,8,0.40309748730801365,0.07079
median,98,sigmoid,15,19,0.5505151768309664,0.075123
median,198,rbf,15,7,0.48836373935789146,0.092987
median,198,sigmoid,15,7,0.5361984506721348,0.081726
median,98,sigmoid,14,7,0.5505151768309664,0.074177
median,58,rbf,15,8,0.525017374353759,0.081086
median,233,sigmoid,17,19,0.4942707009068565,0.085733
median,198,linear,1,7,0.5539308305898695,0.086342
median,233,linear,5,8,0.5767760640071853,0.090139
median,198,sigmoid,5,4,0.5520305594905136,0.080521
median,23,linear,15,4,0.532007797270955,0.093775
median,198,linear,5,8,0.5539308305898695,0.079661
mean,118,rbf,14,7,0.5604213525266157,0.076349
median,233,linear,5,4,0.5767760640071853,0.081894
median,198,sigmoid,15,8,0.5361984506721348,0.081555
mean,198,rbf,14,5,0.48287174851120956,0.085348
median,198,sigmoid,14,7,0.5361984506721348,0.079079
median,23,sigmoid,15,7,0.45603402445507707,0.071485
mean,233,linear,14,5,0.5661568281705582,0.07516
median,198,sigmoid,15,7,0.5361984506721348,0.079254
median,198,sigmoid,5,4,0.5520305594905136,0.083887
mean,118,rbf,14,4,0.5604213525266157,0.075858
median,198,linear,5,8,0.5539308305898695,0.081048
median,198,sigmoid,5,4,0.5520305594905136,0.081027
median,233,sigmoid,5,4,0.5347435105787508,0.083103
mean,198,sigmoid,15,7,0.5388481304270777,0.073965
median,198,linear,5,4,0.5539308305898695,0.081974
median,198,rbf,15,7,0.48836373935789146,0.095073
median,233,linear,5,8,0.5767760640071853,0.082007
mean,118,rbf,14,5,0.5604213525266157,0.078033
median,198,sigmoid,5,4,0.5520305594905136,0.081069
median,198,sigmoid,5,4,0.5520305594905136,0.080351
median,198,linear,5,7,0.5539308305898695,0.081832
median,118,rbf,15,7,0.5604213525266157,0.084915
median,198,sigmoid,5,7,0.5520305594905136,0.08363
median,233,linear,5,7,0.5767760640071853,0.083975
median,198,linear,15,7,0.5539308305898695,0.084117
median,23,rbf,14,5,0.48433317593500663,0.080878
median,198,sigmoid,15,7,0.5361984506721348,0.083079
mean,118,sigmoid,14,5,0.5739302935701828,0.073492
mean,118,rbf,5,8,0.4992314508103982,0.079265
median,233,linear,5,5,0.5767760640071853,0.082614
median,198,sigmoid,15,7,0.5361984506721348,0.097487
