strategy,k,n_estimators,learning_rate,f1,elapsed_time
median,113,56,93,0.21827725231234005,0.609095
median,223,56,93,0.21827725231234005,0.828134
mean,208,21,69,0.09729880256196047,0.430874
mean,208,21,69,0.09729880256196047,0.419456
most_frequent,193,21,87,0.18373950610792716,0.352658
most_frequent,223,26,86,0.2082948889966434,0.436502
median,113,21,93,0.20044001708380046,0.272555
most_frequent,228,21,87,0.2015687648792149,0.357565
most_frequent,193,21,69,0.1580997949419002,0.554588
most_frequent,193,56,93,0.22963527700369807,0.828526
median,223,21,93,0.20044001708380046,0.363228
median,223,21,93,0.20044001708380046,0.365924
most_frequent,223,56,93,0.21827725231234005,0.826029
most_frequent,193,26,93,0.21179804177515846,0.42583
most_frequent,193,56,93,0.22963527700369807,0.823551
most_frequent,223,21,93,0.20044001708380046,0.390394
median,223,56,93,0.21827725231234005,0.811307
median,223,56,93,0.21827725231234005,0.812011
most_frequent,223,56,93,0.21827725231234005,0.839639
most_frequent,193,56,93,0.22963527700369807,0.834991
median,113,26,93,0.21827725231234005,0.330473
median,223,56,93,0.21827725231234005,0.877024
most_frequent,223,21,86,0.2082948889966434,0.390851
median,113,21,93,0.20044001708380046,0.288461
most_frequent,193,26,93,0.21179804177515846,0.433528
median,223,56,93,0.21827725231234005,0.820376
most_frequent,193,56,86,0.2082948889966434,0.700981
most_frequent,193,21,93,0.20477125213967318,0.382584
median,113,21,93,0.20044001708380046,0.273446
most_frequent,113,21,93,0.20044001708380046,0.310125
most_frequent,223,56,93,0.21827725231234005,0.883996
most_frequent,193,56,93,0.22963527700369807,0.838583
median,193,56,93,0.22963527700369807,0.816324
most_frequent,193,56,93,0.22963527700369807,0.82195
most_frequent,223,26,86,0.2082948889966434,0.441167
most_frequent,223,21,87,0.208603530971952,0.395572
most_frequent,193,21,93,0.20477125213967318,0.381901
most_frequent,223,56,87,0.208603530971952,0.729951
most_frequent,223,21,93,0.20044001708380046,0.388079
most_frequent,223,26,93,0.20044001708380046,0.464035
most_frequent,193,26,86,0.1904576537681038,0.443858
most_frequent,223,21,93,0.20044001708380046,0.370852
most_frequent,223,26,86,0.2082948889966434,0.44554
most_frequent,223,21,93,0.20044001708380046,0.399582
median,223,26,93,0.20044001708380046,0.408197
most_frequent,223,56,86,0.2082948889966434,0.729269
