strategy,k,n_neighbors,weights,algorithm,leaf_size,f1,elapsed_time
median,178,15,,auto,30,0.37735718606861984,0.082597
median,193,12,uniform,kd_tree,27,0.37735718606861984,0.086326
most_frequent,213,10,distance,ball_tree,30,0.37735718606861984,0.091652
most_frequent,213,11,distance,brute,30,0.393984962406015,0.109494
median,118,9,,ball_tree,23,0.3976755508314291,0.104578
most_frequent,213,9,,ball_tree,23,0.37735718606861984,0.092906
median,178,9,,ball_tree,41,0.37735718606861984,0.066172
median,193,12,uniform,kd_tree,41,0.37735718606861984,0.08303
median,78,2,uniform,auto,24,0.3864118629908104,0.073632
median,218,4,uniform,auto,21,0.3888567572778099,0.076735
most_frequent,213,10,distance,auto,48,0.37735718606861984,0.11165
median,218,2,distance,brute,41,0.4163157894736842,0.0768
most_frequent,78,9,distance,auto,21,0.40026823944952605,0.128056
median,218,4,distance,brute,24,0.4007818692029219,0.075055
median,218,4,uniform,brute,41,0.3888567572778099,0.083094
median,218,4,distance,auto,21,0.4007818692029219,0.086959
median,178,2,uniform,ball_tree,41,0.4083782580858604,0.102983
most_frequent,213,9,distance,auto,30,0.37735718606861984,0.122128
most_frequent,213,11,distance,brute,21,0.393984962406015,0.127244
most_frequent,213,4,distance,ball_tree,48,0.4007818692029219,0.122491
most_frequent,213,9,,ball_tree,21,0.37735718606861984,0.097159
median,218,15,,ball_tree,41,0.37735718606861984,0.066046
most_frequent,213,10,distance,auto,30,0.37735718606861984,0.120473
most_frequent,78,2,uniform,auto,21,0.38112085769980514,0.116352
median,78,9,distance,auto,24,0.38251397725081937,0.087
most_frequent,213,11,uniform,auto,21,0.37735718606861984,0.110956
median,218,11,distance,brute,28,0.393984962406015,0.08691
most_frequent,218,4,distance,auto,21,0.4007818692029219,0.152174
median,78,15,,ball_tree,41,0.37735718606861984,0.085501
most_frequent,213,2,uniform,auto,21,0.4147690213187289,0.101175
most_frequent,213,2,distance,auto,30,0.4163157894736842,0.117212
median,178,15,uniform,ball_tree,41,0.37735718606861984,0.075467
most_frequent,78,2,uniform,auto,21,0.38112085769980514,0.112538
median,178,15,,auto,41,0.37735718606861984,0.103347
median,178,15,,brute,28,0.37735718606861984,0.11505
median,178,11,distance,brute,30,0.37735718606861984,0.081925
most_frequent,213,10,uniform,auto,30,0.37735718606861984,0.106684
most_frequent,213,10,distance,ball_tree,48,0.37735718606861984,0.096707
most_frequent,213,2,distance,auto,30,0.4163157894736842,0.107354
most_frequent,213,11,distance,auto,30,0.393984962406015,0.135492
median,218,4,distance,auto,24,0.4007818692029219,0.093325
most_frequent,213,15,,ball_tree,48,0.37735718606861984,0.108138
most_frequent,78,2,uniform,auto,21,0.38112085769980514,0.101471
median,78,4,distance,brute,41,0.4769351798299167,0.103561
median,218,4,distance,brute,41,0.4007818692029219,0.10448
median,218,4,distance,brute,41,0.4007818692029219,0.086036
median,218,4,distance,brute,28,0.4007818692029219,0.096832
median,78,2,uniform,brute,41,0.3864118629908104,0.070596
median,218,4,distance,brute,41,0.4007818692029219,0.082059
most_frequent,78,4,distance,brute,21,0.48610896900370576,0.140415
median,218,4,distance,brute,28,0.4007818692029219,0.101788
median,218,2,uniform,brute,41,0.41770846870262074,0.080761
median,218,4,distance,brute,28,0.4007818692029219,0.083646
median,218,4,distance,brute,28,0.4007818692029219,0.094997
median,218,2,distance,auto,41,0.4163157894736842,0.101458
median,218,2,distance,brute,28,0.4163157894736842,0.083431
median,218,4,distance,brute,28,0.4007818692029219,0.072512
most_frequent,213,2,distance,auto,21,0.4163157894736842,0.15395
median,178,2,distance,brute,41,0.4355691160267819,0.088195
median,178,2,distance,brute,41,0.4355691160267819,0.083007
median,78,2,uniform,auto,21,0.3864118629908104,0.092828
median,218,2,uniform,auto,21,0.41770846870262074,0.073368
median,218,4,distance,brute,41,0.4007818692029219,0.093727
median,178,2,uniform,brute,41,0.4083782580858604,0.079075
median,218,4,distance,brute,41,0.4007818692029219,0.084297
median,218,4,distance,brute,28,0.4007818692029219,0.092522
median,218,4,distance,auto,21,0.4007818692029219,0.096823
median,218,4,distance,brute,28,0.4007818692029219,0.094304
median,218,4,distance,brute,28,0.4007818692029219,0.101785
median,78,2,uniform,auto,21,0.3864118629908104,0.093114
median,218,2,uniform,auto,41,0.41770846870262074,0.072466
median,218,4,distance,auto,21,0.4007818692029219,0.073823
