strategy,k,n_neighbors,weights,algorithm,leaf_size,f1,elapsed_time
median,108,11,uniform,ball_tree,31,0.4130918218032556,0.065323
median,108,19,distance,ball_tree,32,0.39511144826732647,0.062553
median,108,3,distance,ball_tree,31,0.49557924726345776,0.062963
median,108,11,,brute,33,0.4130918218032556,0.08452
median,108,10,uniform,ball_tree,32,0.4130918218032556,0.078552
median,28,3,distance,ball_tree,31,0.4524275180705387,0.074101
median,108,10,,ball_tree,32,0.4130918218032556,0.066549
median,108,11,,ball_tree,32,0.4130918218032556,0.06587
median,28,11,distance,ball_tree,31,0.4305611434266405,0.059906
median,108,10,,ball_tree,31,0.4130918218032556,0.065162
median,28,3,distance,ball_tree,32,0.4524275180705387,0.057848
median,108,11,,ball_tree,33,0.4130918218032556,0.064564
median,108,19,distance,ball_tree,32,0.39511144826732647,0.062017
median,128,11,,brute,31,0.39511144826732647,0.093025
median,128,11,,brute,32,0.39511144826732647,0.089966
median,28,3,distance,ball_tree,31,0.4524275180705387,0.075472
median,28,3,distance,ball_tree,31,0.4524275180705387,0.060472
median,108,19,distance,ball_tree,32,0.39511144826732647,0.060346
median,28,3,distance,ball_tree,31,0.4524275180705387,0.059641
median,108,11,distance,ball_tree,31,0.4130918218032556,0.060028
median,28,3,distance,ball_tree,31,0.4524275180705387,0.059178
median,28,3,distance,ball_tree,31,0.4524275180705387,0.061226
median,28,3,distance,ball_tree,33,0.4524275180705387,0.061613
median,28,11,,ball_tree,31,0.3973187060301398,0.064461
median,28,3,distance,ball_tree,31,0.4524275180705387,0.059206
median,28,3,,ball_tree,31,0.4421501227817017,0.062624
median,28,3,distance,ball_tree,31,0.4524275180705387,0.059551
median,28,3,,ball_tree,31,0.4421501227817017,0.063944
median,108,11,,ball_tree,33,0.4130918218032556,0.066505
median,28,3,distance,ball_tree,31,0.4524275180705387,0.058729
median,28,3,distance,ball_tree,32,0.4524275180705387,0.062588
median,28,3,distance,ball_tree,31,0.4524275180705387,0.060063
median,108,11,uniform,ball_tree,31,0.4130918218032556,0.065654
median,108,3,,ball_tree,33,0.4807847824689929,0.064623
median,28,3,distance,ball_tree,31,0.4524275180705387,0.058304
median,108,19,distance,ball_tree,33,0.39511144826732647,0.061312
median,28,11,uniform,ball_tree,31,0.3973187060301398,0.063945
median,108,11,,ball_tree,33,0.4130918218032556,0.065304
median,108,11,,ball_tree,31,0.4130918218032556,0.064602
median,108,11,uniform,ball_tree,32,0.4130918218032556,0.065321
median,28,3,distance,ball_tree,32,0.4524275180705387,0.058762
median,28,3,distance,ball_tree,31,0.4524275180705387,0.058677
median,28,3,distance,ball_tree,31,0.4524275180705387,0.058955
median,28,3,distance,ball_tree,32,0.4524275180705387,0.060369
median,108,11,distance,ball_tree,33,0.4130918218032556,0.061287
median,28,3,distance,ball_tree,31,0.4524275180705387,0.059249
median,28,3,distance,ball_tree,33,0.4524275180705387,0.059046
median,108,19,distance,ball_tree,31,0.39511144826732647,0.059971
median,28,3,,ball_tree,32,0.4421501227817017,0.06398
median,108,11,distance,ball_tree,31,0.4130918218032556,0.062052
median,28,3,,ball_tree,31,0.4421501227817017,0.064161
median,28,19,distance,ball_tree,31,0.4128069215183553,0.059798
median,28,3,distance,ball_tree,31,0.4524275180705387,0.059035
median,108,19,distance,ball_tree,32,0.39511144826732647,0.059928
median,108,11,uniform,ball_tree,31,0.4130918218032556,0.065489
